
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,I,Azimuth,Pitch,Roll,Gain,Latitude,Longitude,Speed (m/s),
0.143991,0.1463,0.4288,0.8387,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.146112,0.1463,0.4288,0.8387,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.7525,0.0000,0.0000,0.0000,-∞,23.54517591,87.29021561,1.02999997,
0.146485,0.1463,0.4288,0.8387,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7825,0.0000,0.0000,0.0000,-∞,23.54517591,87.29021561,1.02999997,
0.146784,0.1780,0.3925,0.7691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7825,0.0000,0.0000,0.0000,-∞,23.54517591,87.29021561,1.02999997,
0.200157,0.1780,0.3925,0.7691,0.0000,0.0000,0.0000,-0.4884,-0.2989,-0.1511,0.0000,0.0000,0.0000,14.7825,0.0000,0.0000,0.0000,-∞,23.54517591,87.29021561,1.02999997,
0.210358,0.1780,0.3925,0.7691,0.0000,0.0000,0.0000,-0.4884,-0.2989,-0.1511,0.0000,0.0000,0.0000,14.7825,0.0000,0.0000,0.0000,-∞,23.54517591,87.29021561,1.02999997,
0.211149,0.1219,0.3768,0.8459,0.0000,0.0000,0.0000,-0.4884,-0.2989,-0.1511,0.0000,0.0000,0.0000,14.7825,0.0000,0.0000,0.0000,-∞,23.54517591,87.29021561,1.02999997,
0.212022,-0.0288,0.3571,0.9180,0.0000,0.0000,0.0000,-0.4884,-0.2989,-0.1511,0.0000,0.0000,0.0000,14.7825,0.0000,0.0000,0.0000,-∞,23.54517591,87.29021561,1.02999997,
0.212976,-0.0938,0.3988,0.9016,0.0000,0.0000,0.0000,-0.4884,-0.2989,-0.1511,0.0000,0.0000,0.0000,14.7825,0.0000,0.0000,0.0000,-∞,23.54517591,87.29021561,1.02999997,
0.256801,-0.0938,0.3988,0.9016,0.0000,0.0000,0.0000,-0.4884,-0.2989,-0.1511,34.2820,-12.8222,-23.2654,14.7825,0.0000,0.0000,0.0000,-∞,23.54517591,87.29021561,1.02999997,
